,startX,startY,endX,endY
0,121.4,31.238,121.4,31.238
1,121.478,31.2036,121.4,31.238
2,121.478,31.2036,121.478,31.2036
3,121.467,31.3008,121.4,31.238
4,121.467,31.3008,121.478,31.2036
5,121.467,31.3008,121.467,31.3008
6,121.412,31.1654,121.4,31.238
7,121.412,31.1654,121.478,31.2036
8,121.412,31.1654,121.467,31.3008
9,121.412,31.1654,121.412,31.1654
10,121.536,31.2659,121.4,31.238
11,121.536,31.2659,121.478,31.2036
12,121.536,31.2659,121.467,31.3008
13,121.536,31.2659,121.412,31.1654
14,121.536,31.2659,121.536,31.2659
15,121.425,31.2261,121.4,31.238
16,121.425,31.2261,121.478,31.2036
17,121.425,31.2261,121.467,31.3008
18,121.425,31.2261,121.412,31.1654
19,121.425,31.2261,121.536,31.2659
20,121.425,31.2261,121.425,31.2261
21,121.703,31.1907,121.4,31.238
22,121.703,31.1907,121.478,31.2036
23,121.703,31.1907,121.467,31.3008
24,121.703,31.1907,121.412,31.1654
25,121.703,31.1907,121.536,31.2659
26,121.703,31.1907,121.425,31.2261
27,121.703,31.1907,121.703,31.1907
28,121.533,31.2284,121.4,31.238
29,121.533,31.2284,121.478,31.2036
30,121.533,31.2284,121.467,31.3008
31,121.533,31.2284,121.412,31.1654
32,121.533,31.2284,121.536,31.2659
33,121.533,31.2284,121.425,31.2261
34,121.533,31.2284,121.703,31.1907
35,121.533,31.2284,121.533,31.2284
36,121.577,31.2071,121.4,31.238
37,121.577,31.2071,121.478,31.2036
38,121.577,31.2071,121.467,31.3008
39,121.577,31.2071,121.412,31.1654
40,121.577,31.2071,121.536,31.2659
41,121.577,31.2071,121.425,31.2261
42,121.577,31.2071,121.703,31.1907
43,121.577,31.2071,121.533,31.2284
44,121.577,31.2071,121.577,31.2071
45,118.803,32.1083,118.803,32.1083
46,118.795,32.0775,118.803,32.1083
47,118.795,32.0775,118.795,32.0775
48,118.907,32.105,118.803,32.1083
49,118.907,32.105,118.795,32.0775
50,118.907,32.105,118.907,32.105
51,120.561,31.2472,121.4,31.238
52,120.561,31.2472,121.478,31.2036
53,120.561,31.2472,121.467,31.3008
54,120.561,31.2472,121.412,31.1654
55,120.561,31.2472,121.536,31.2659
56,120.561,31.2472,121.425,31.2261
57,120.561,31.2472,121.703,31.1907
58,120.561,31.2472,121.533,31.2284
59,120.561,31.2472,121.577,31.2071
60,120.561,31.2472,120.561,31.2472
61,120.628,31.2864,121.4,31.238
62,120.628,31.2864,121.478,31.2036
63,120.628,31.2864,121.467,31.3008
64,120.628,31.2864,121.412,31.1654
65,120.628,31.2864,121.536,31.2659
66,120.628,31.2864,121.425,31.2261
67,120.628,31.2864,121.703,31.1907
68,120.628,31.2864,121.533,31.2284
69,120.628,31.2864,121.577,31.2071
70,120.628,31.2864,120.561,31.2472
71,120.628,31.2864,120.628,31.2864
